order_date,promoter_pct,detractor_pct,total_orders
2018-05-03,0.0,100.0,1
2018-05-10,100.0,0.0,1
2018-05-11,100.0,0.0,2
2018-05-12,0.0,0.0,1
2018-05-13,100.0,0.0,1
2018-05-14,50.0,0.0,2
2018-05-15,100.0,0.0,2
2018-05-16,40.0,20.0,5
2018-05-17,0.0,0.0,1
2018-05-18,100.0,0.0,4
2018-05-19,50.0,50.0,2
2018-05-20,75.0,25.0,4
2018-05-21,50.0,0.0,2
2018-05-22,40.0,20.0,5
2018-05-23,100.0,0.0,5
2018-05-24,83.33,16.67,6
2018-05-25,66.67,33.33,3
2018-05-26,100.0,0.0,2
2018-05-27,60.0,20.0,5
2018-05-28,100.0,0.0,3
2018-05-29,71.43,14.29,7
2018-05-30,0.0,0.0,1
2018-05-31,71.43,14.29,7
2018-06-01,100.0,0.0,1
2018-06-02,66.67,33.33,3
2018-06-03,66.67,0.0,3
2018-06-04,83.33,0.0,6
2018-06-05,100.0,0.0,2
2018-06-06,100.0,0.0,1
2018-06-07,62.5,25.0,8
2018-06-08,75.0,12.5,8
2018-06-09,0.0,100.0,1
2018-06-10,75.0,8.33,12
2018-06-11,33.33,33.33,3
2018-06-12,57.14,0.0,7
2018-06-13,50.0,16.67,6
2018-06-14,75.0,25.0,8
2018-06-15,22.22,33.33,9
2018-06-16,100.0,0.0,6
2018-06-17,50.0,10.0,10
2018-06-18,60.0,30.0,10
2018-06-19,57.14,14.29,7
2018-06-20,77.78,11.11,9
2018-06-21,61.54,23.08,13
2018-06-22,33.33,33.33,9
2018-06-23,36.36,36.36,11
2018-06-24,42.86,14.29,7
2018-06-25,50.0,33.33,12
2018-06-26,73.33,6.67,15
2018-06-27,27.27,45.45,11
2018-06-28,72.22,11.11,18
2018-06-29,42.86,28.57,28
2018-06-30,45.45,18.18,11
2018-07-01,50.0,12.5,8
2018-07-02,38.89,44.44,18
2018-07-03,42.86,14.29,7
2018-07-04,50.0,16.67,6
2018-07-05,44.44,22.22,9
2018-07-06,52.94,23.53,17
2018-07-07,26.32,52.63,19
2018-07-08,53.85,23.08,13
2018-07-09,50.0,27.27,22
2018-07-10,78.95,0.0,19
2018-07-11,78.57,14.29,14
2018-07-12,59.26,25.93,27
2018-07-13,55.17,24.14,29
2018-07-14,46.15,34.62,26
2018-07-15,60.61,15.15,33
2018-07-16,58.0,26.0,50
2018-07-17,54.93,11.27,71
2018-07-18,70.27,10.81,37
2018-07-19,62.65,14.46,83
2018-07-20,71.64,11.94,67
2018-07-21,60.47,18.6,43
2018-07-22,63.16,17.54,57
2018-07-23,68.42,13.16,76
2018-07-24,46.94,30.61,49
2018-07-25,60.98,19.51,41
2018-07-26,61.54,15.38,39
2018-07-27,54.84,25.81,31
2018-07-28,72.22,5.56,18
2018-07-29,60.22,16.13,93
2018-07-30,60.87,16.3,92
2018-07-31,74.71,14.94,87
2018-08-01,56.58,19.74,76
2018-08-02,73.73,11.02,118
2018-08-03,63.95,15.12,86
2018-08-04,66.67,16.0,75
2018-08-05,62.62,20.56,107
2018-08-06,63.64,12.99,77
2018-08-07,68.09,15.96,94
2018-08-08,56.98,25.58,86
2018-08-09,66.36,14.02,107
2018-08-10,61.62,14.14,99
2018-08-11,56.32,17.24,87
2018-08-12,63.33,21.11,90
2018-08-13,72.92,6.25,96
2018-08-14,73.12,17.2,93
2018-08-15,60.71,10.71,84
2018-08-16,62.24,15.31,98
2018-08-17,61.9,20.0,105
2018-08-18,55.56,17.17,99
2018-08-19,64.63,23.17,82
2018-08-20,62.64,18.68,91
2018-08-21,66.67,18.06,72
2018-08-22,70.83,13.89,72
2018-08-23,66.0,18.0,100
2018-08-24,63.97,18.38,136
2018-08-25,75.41,6.56,61
2018-08-26,59.32,16.95,59
2018-08-27,65.22,14.49,69
2018-08-28,68.97,10.34,87
2018-08-29,63.08,15.38,65
2018-08-30,60.67,12.36,89
2018-08-31,72.73,13.22,121
2018-09-01,62.5,17.71,96
2018-09-02,52.86,27.14,70
2018-09-03,78.79,6.06,66
2018-09-04,64.0,6.0,50
2018-09-05,66.67,14.04,57
2018-09-06,61.54,11.54,52
2018-09-07,65.12,9.3,86
2018-09-08,60.29,17.65,68
2018-09-09,68.67,10.84,83
2018-09-10,64.84,19.78,91
2018-09-11,62.79,18.6,43
2018-09-12,65.31,12.24,98
2018-09-13,63.79,16.38,116
2018-09-14,61.65,16.54,133
2018-09-15,61.7,14.89,47
2018-09-16,66.67,10.67,75
2018-09-17,75.0,10.94,64
2018-09-18,69.01,9.86,71
2018-09-19,54.93,15.49,71
2018-09-20,72.28,5.94,101
2018-09-21,66.32,14.74,95
2018-09-22,65.85,13.41,82
2018-09-23,71.64,8.96,67
2018-09-24,75.41,11.48,61
2018-09-25,63.79,15.52,58
2018-09-26,82.61,7.25,69
2018-09-27,66.67,14.1,78
2018-09-28,79.76,9.52,84
2018-09-29,57.89,23.68,76
2018-09-30,62.07,18.97,58
2018-10-01,56.86,15.69,51
2018-10-02,65.38,13.46,52
2018-10-03,66.67,11.11,63
2018-10-04,67.69,13.85,65
2018-10-05,73.4,9.57,94
2018-10-06,69.57,6.52,46
2018-10-07,54.84,17.74,62
2018-10-08,64.52,14.52,62
2018-10-09,70.97,8.06,62
2018-10-10,69.01,15.49,71
2018-10-11,67.07,19.51,82
2018-10-12,72.57,15.93,113
2018-10-13,64.1,17.95,78
2018-10-14,68.49,12.33,73
2018-10-15,66.67,12.5,72
2018-10-16,66.2,9.86,71
2018-10-17,65.15,13.64,66
2018-10-18,64.22,8.26,109
2018-10-19,56.99,15.05,93
2018-10-20,68.42,10.53,76
2018-10-21,74.71,9.2,87
2018-10-22,65.79,17.11,76
2018-10-23,66.67,8.05,87
2018-10-24,55.21,18.75,96
2018-10-25,66.67,10.48,105
2018-10-26,66.0,15.0,100
2018-10-27,77.63,9.21,76
2018-10-28,73.33,13.33,75
2018-10-29,68.48,7.61,92
2018-10-30,68.49,12.33,73
2018-10-31,61.46,12.5,96
2018-11-01,59.52,10.71,84
2018-11-02,63.73,18.63,102
2018-11-03,71.64,7.46,67
2018-11-04,61.54,18.46,65
2018-11-05,67.06,10.59,85
2018-11-06,68.97,13.79,58
2018-11-07,70.15,14.93,67
2018-11-08,63.51,13.51,74
2018-11-09,59.46,14.41,111
2018-11-10,67.01,9.28,97
2018-11-11,69.77,3.49,86
2018-11-12,65.06,10.84,83
2018-11-13,64.52,12.9,62
2018-11-14,70.24,7.14,84
2018-11-15,68.09,11.7,94
2018-11-16,68.5,11.81,127
2018-11-17,71.7,11.32,53
2018-11-18,64.71,11.76,68
2018-11-19,75.47,7.55,53
2018-11-20,52.94,17.65,51
2018-11-21,74.07,5.56,54
2018-11-22,61.76,14.71,68
2018-11-23,60.66,8.2,61
2018-11-24,71.43,12.09,91
2018-11-25,68.57,5.71,70
2018-11-26,68.42,13.68,95
2018-11-27,77.65,7.06,85
2018-11-28,76.54,9.88,81
2018-11-29,67.9,16.05,81
2018-11-30,70.0,6.67,60
2018-12-01,50.79,17.46,63
2018-12-02,64.29,14.29,56
2018-12-03,69.12,8.82,68
2018-12-04,60.42,12.5,48
2018-12-05,54.84,19.35,62
2018-12-06,68.57,12.38,105
2018-12-07,75.29,7.06,85
2018-12-08,76.67,10.0,60
2018-12-09,78.18,3.64,55
2018-12-10,64.06,9.38,64
2018-12-11,62.5,17.86,56
2018-12-12,71.43,6.35,63
2018-12-13,64.56,18.99,79
2018-12-14,73.61,13.89,72
2018-12-15,68.75,7.81,64
2018-12-16,74.6,12.7,63
2018-12-17,76.25,8.75,80
2018-12-18,76.67,6.67,60
2018-12-19,75.86,8.62,58
2018-12-20,74.29,4.29,70
2018-12-21,75.71,10.0,70
2018-12-22,76.47,5.88,102
2018-12-23,60.54,15.65,147
2018-12-24,73.44,14.06,64
2018-12-25,67.03,8.79,91
2018-12-26,68.42,6.32,95
2018-12-27,68.92,10.14,148
2018-12-28,69.64,9.82,112
2018-12-29,66.67,11.9,84
2018-12-30,70.59,7.84,102
