order_date,state,customer_type,total_orders,promoters,detractors,nps
2020-03-14,VIC,Returning Customer,22,16,2,63.64
2019-01-27,QLD,New customer,10,9,0,90.0
2020-05-15,NSW,Returning Customer,51,42,2,78.43
2019-01-23,VIC,Returning Customer,8,5,0,62.5
2020-03-13,NSW,New customer,37,26,5,56.76
2018-09-01,ACT,Returning Customer,1,1,0,100.0
2019-11-03,NSW,Returning Customer,32,24,2,68.75
2018-07-19,,New customer,10,6,1,50.0
2020-02-09,VIC,Returning Customer,17,13,2,64.71
2019-07-15,VIC,Returning Customer,9,6,0,66.67
2018-09-10,VIC,Returning Customer,13,10,2,61.54
2018-12-09,VIC,Returning Customer,5,3,0,60.0
2019-04-22,,Returning Customer,3,1,0,33.33
2020-02-26,NSW,Returning Customer,17,11,1,58.82
2019-11-09,NSW,Returning Customer,47,28,11,36.17
2018-08-15,VIC,New customer,20,15,2,65.0
2018-08-31,VIC,New customer,24,18,3,62.5
2018-06-04,,Returning Customer,1,1,0,100.0
2019-08-20,QLD,Returning Customer,9,6,0,66.67
2019-06-21,VIC,Returning Customer,11,9,1,72.73
2018-07-20,,Returning Customer,3,2,0,66.67
2018-07-29,QLD,New customer,11,6,1,45.45
2018-07-29,VIC,New customer,23,15,4,47.83
2018-07-31,SA,Returning Customer,1,1,0,100.0
2018-08-05,VIC,New customer,22,9,9,0.0
2018-08-10,QLD,New customer,13,6,1,38.46
2018-08-13,,New customer,12,8,0,66.67
2018-09-04,QLD,New customer,8,5,0,62.5
2018-09-05,,Returning Customer,2,2,0,100.0
2019-03-18,,New customer,25,19,4,60.0
2018-09-21,QLD,Returning Customer,6,5,0,83.33
2018-09-23,VIC,New customer,12,8,2,50.0
2018-12-17,NSW,Returning Customer,18,13,2,61.11
2018-10-16,NSW,New customer,19,10,2,42.11
2018-10-21,WA,Returning Customer,2,1,0,50.0
2018-11-08,,New customer,13,7,2,38.46
2019-12-18,TAS,New customer,3,2,0,66.67
2019-01-03,NSW,Returning Customer,6,5,0,83.33
2019-01-09,,New customer,20,14,4,50.0
2019-01-11,ACT,Returning Customer,3,3,0,100.0
2019-01-11,,New customer,16,12,4,50.0
2019-01-19,NSW,New customer,32,26,1,78.13
2019-01-24,VIC,New customer,20,14,2,60.0
2019-03-06,,Returning Customer,2,2,0,100.0
2019-06-28,NSW,Returning Customer,17,10,2,47.06
2019-06-19,VIC,Returning Customer,16,12,1,68.75
2019-02-12,NSW,New customer,15,13,0,86.67
2019-02-14,QLD,Returning Customer,8,7,0,87.5
2019-05-13,QLD,Returning Customer,11,8,2,54.55
2019-06-15,QLD,Returning Customer,14,12,1,78.57
2019-03-04,VIC,New customer,19,11,3,42.11
2019-03-05,VIC,New customer,14,7,3,28.57
2019-03-07,TAS,Returning Customer,1,1,0,100.0
2019-06-10,NSW,Returning Customer,27,19,2,62.96
2019-03-17,QLD,Returning Customer,6,5,0,83.33
2019-11-02,WA,New customer,4,2,2,0.0
2019-05-14,VIC,Returning Customer,17,13,1,70.59
2019-04-28,,New customer,17,13,2,64.71
2019-04-09,VIC,New customer,21,12,6,28.57
2019-04-10,TAS,Returning Customer,1,1,0,100.0
2019-04-17,,Returning Customer,2,2,0,100.0
2019-10-13,VIC,Returning Customer,8,7,0,87.5
2020-01-10,QLD,Returning Customer,18,15,1,77.78
2020-01-06,VIC,New customer,46,34,4,65.22
2020-05-08,VIC,Returning Customer,19,17,0,89.47
2020-03-23,NSW,New customer,60,41,9,53.33
2019-05-09,NSW,Returning Customer,19,14,2,63.16
2019-05-17,WA,New customer,6,2,3,-16.67
2019-05-18,WA,New customer,10,9,0,90.0
2019-07-18,QLD,Returning Customer,2,1,0,50.0
2019-05-31,VIC,New customer,21,15,2,61.9
2019-09-13,VIC,New customer,17,10,5,29.41
2019-06-11,VIC,Returning Customer,9,6,1,55.56
2019-06-15,,Returning Customer,5,4,0,80.0
2019-06-24,VIC,New customer,26,17,5,46.15
2019-06-28,TAS,New customer,2,1,0,50.0
2019-11-06,NSW,Returning Customer,26,25,0,96.15
2019-07-08,,New customer,17,13,2,64.71
2019-07-13,QLD,New customer,15,10,0,66.67
2019-07-13,,New customer,14,12,2,71.43
2020-05-21,ACT,New customer,2,1,1,0.0
2019-09-20,QLD,Returning Customer,6,5,0,83.33
2020-05-08,NSW,Returning Customer,21,14,1,61.9
2019-08-20,NSW,New customer,27,18,4,51.85
2019-09-05,NSW,New customer,18,14,2,66.67
2020-06-12,WA,Returning Customer,3,2,1,33.33
2019-09-24,NSW,New customer,9,5,0,55.56
2019-10-16,NSW,New customer,11,9,1,72.73
2019-10-22,VIC,New customer,27,20,2,66.67
2019-10-28,,New customer,18,13,2,61.11
2019-10-28,NSW,New customer,34,22,5,50.0
2020-08-01,VIC,Returning Customer,11,4,3,9.09
2019-11-05,QLD,Returning Customer,7,4,1,42.86
2019-11-01,QLD,Returning Customer,7,6,1,71.43
2020-04-16,QLD,New customer,15,15,0,100.0
2019-11-07,SA,Returning Customer,8,6,0,75.0
2019-11-09,ACT,Returning Customer,2,2,0,100.0
2019-11-10,NSW,New customer,34,24,4,58.82
2019-11-28,NSW,Returning Customer,46,38,3,76.09
2019-11-15,,New customer,22,15,2,59.09
2019-11-17,NSW,New customer,44,33,3,68.18
2019-11-29,SA,Returning Customer,4,4,0,100.0
2019-11-20,VIC,Returning Customer,15,11,2,60.0
2019-11-21,QLD,Returning Customer,12,8,2,50.0
2019-11-26,QLD,New customer,29,22,1,72.41
2019-11-27,QLD,New customer,25,20,2,72.0
2020-04-14,VIC,Returning Customer,16,12,2,62.5
2019-12-01,QLD,New customer,30,22,6,53.33
2019-12-08,WA,New customer,8,6,1,62.5
2019-12-05,,Returning Customer,10,9,0,90.0
2019-12-07,NSW,New customer,55,42,5,67.27
2020-03-19,QLD,New customer,23,21,0,91.3
2019-12-15,VIC,New customer,27,24,0,88.89
2019-12-19,,New customer,33,25,5,60.61
2019-12-22,TAS,New customer,3,3,0,100.0
