year,month,order_date,customer_type,state,promoters,detractors,total_orders,nps
2019-01-01,2019-11-01,2019-11-21,New customer,VIC,38,5,50,66.0
2020-01-01,2020-07-01,2020-07-09,Returning Customer,NSW,14,3,18,61.11
2019-01-01,2019-10-01,2019-10-10,Returning Customer,QLD,7,1,9,66.67
2018-01-01,2018-10-01,2018-10-31,Returning Customer,NSW,5,2,9,33.33
2019-01-01,2019-08-01,2019-08-27,New customer,WA,3,1,4,50.0
2020-01-01,2020-06-01,2020-06-04,New customer,NSW,31,5,43,60.47
2019-01-01,2019-08-01,2019-08-29,Returning Customer,NSW,12,0,13,92.31
2019-01-01,2019-11-01,2019-11-13,Returning Customer,WA,1,0,1,100.0
2018-01-01,2018-08-01,2018-08-30,New customer,NSW,14,1,19,68.42
2019-01-01,2019-07-01,2019-07-15,New customer,,5,0,7,71.43
2020-01-01,2020-06-01,2020-06-20,Returning Customer,VIC,18,4,22,63.64
2020-01-01,2020-03-01,2020-03-30,New customer,NSW,27,4,36,63.89
2019-01-01,2019-07-01,2019-07-14,Returning Customer,VIC,9,0,10,90.0
2019-01-01,2019-07-01,2019-07-23,New customer,,6,0,8,75.0
2019-01-01,2019-02-01,2019-02-26,New customer,NSW,9,0,11,81.82
2019-01-01,2019-06-01,2019-06-03,New customer,NSW,21,0,25,84.0
2018-01-01,2018-11-01,2018-11-02,Returning Customer,NSW,11,0,14,78.57
2020-01-01,2020-02-01,2020-02-19,New customer,VIC,34,3,47,65.96
2019-01-01,2019-01-01,2019-01-06,New customer,,5,1,7,57.14
2019-01-01,2019-12-01,2019-12-18,Returning Customer,NSW,16,2,21,66.67
2018-01-01,2018-11-01,2018-11-27,Returning Customer,NSW,6,0,9,66.67
2020-01-01,2020-06-01,2020-06-25,New customer,QLD,14,6,29,27.59
2020-01-01,2020-02-01,2020-02-04,Returning Customer,NSW,19,0,19,100.0
2019-01-01,2019-12-01,2019-12-31,Returning Customer,VIC,11,1,17,58.82
2020-01-01,2020-02-01,2020-02-14,Returning Customer,VIC,25,0,28,89.29
2019-01-01,2019-02-01,2019-02-25,Returning Customer,SA,3,0,3,100.0
2019-01-01,2019-07-01,2019-07-03,Returning Customer,VIC,15,2,21,61.9
2019-01-01,2019-02-01,2019-02-24,Returning Customer,NSW,4,1,7,42.86
2018-01-01,2018-07-01,2018-07-29,New customer,VIC,15,4,23,47.83
2019-01-01,2019-09-01,2019-09-12,New customer,VIC,13,2,17,64.71
2019-01-01,2019-11-01,2019-11-09,Returning Customer,VIC,20,1,24,79.17
2019-01-01,2019-06-01,2019-06-29,New customer,NSW,20,3,27,62.96
2020-01-01,2020-08-01,2020-08-08,Returning Customer,QLD,3,3,8,0.0
2019-01-01,2019-11-01,2019-11-27,New customer,,18,4,25,56.0
2020-01-01,2020-02-01,2020-02-09,Returning Customer,NSW,15,1,21,66.67
2018-01-01,2018-11-01,2018-11-26,Returning Customer,NSW,9,1,12,66.67
2019-01-01,2019-09-01,2019-09-14,New customer,SA,1,0,4,25.0
2019-01-01,2019-11-01,2019-11-20,Returning Customer,WA,1,1,3,0.0
2019-01-01,2019-05-01,2019-05-01,Returning Customer,QLD,5,1,6,66.67
2019-01-01,2019-05-01,2019-05-23,New customer,ACT,2,1,3,33.33
2020-01-01,2020-05-01,2020-05-12,New customer,WA,6,1,8,62.5
2020-01-01,2020-05-01,2020-05-12,Returning Customer,VIC,18,2,20,80.0
2018-01-01,2018-08-01,2018-08-02,New customer,QLD,6,3,11,27.27
2019-01-01,2019-06-01,2019-06-05,Returning Customer,SA,2,0,4,50.0
2018-01-01,2018-07-01,2018-07-12,New customer,WA,1,0,1,100.0
2019-01-01,2019-10-01,2019-10-05,Returning Customer,ACT,2,0,2,100.0
2020-01-01,2020-08-01,2020-08-18,New customer,,11,2,17,52.94
2020-01-01,2020-06-01,2020-06-06,Returning Customer,NSW,16,0,17,94.12
2019-01-01,2019-07-01,2019-07-29,New customer,VIC,17,3,27,51.85
2018-01-01,2018-10-01,2018-10-09,New customer,SA,3,0,5,60.0
2019-01-01,2019-10-01,2019-10-16,New customer,QLD,6,1,9,55.56
2020-01-01,2020-02-01,2020-02-10,New customer,NSW,37,1,49,73.47
2019-01-01,2019-12-01,2019-12-18,New customer,VIC,20,4,28,57.14
2019-01-01,2019-01-01,2019-01-30,New customer,NSW,17,4,27,48.15
2019-01-01,2019-11-01,2019-11-06,Returning Customer,QLD,5,1,9,44.44
2018-01-01,2018-12-01,2018-12-26,New customer,NSW,17,2,24,62.5
2020-01-01,2020-02-01,2020-02-13,New customer,NSW,40,9,62,50.0
2020-01-01,2020-07-01,2020-07-29,New customer,NSW,21,3,33,54.55
2018-01-01,2018-09-01,2018-09-06,New customer,NSW,7,4,17,17.65
2020-01-01,2020-03-01,2020-03-01,New customer,VIC,33,8,49,51.02
2019-01-01,2019-02-01,2019-02-09,New customer,,9,1,11,72.73
2020-01-01,2020-06-01,2020-06-20,New customer,NSW,26,9,42,40.48
2019-01-01,2019-08-01,2019-08-02,New customer,VIC,14,2,20,60.0
2019-01-01,2019-08-01,2019-08-11,New customer,NSW,16,2,23,60.87
2019-01-01,2019-09-01,2019-09-06,New customer,VIC,9,0,14,64.29
2020-01-01,2020-04-01,2020-04-20,New customer,NSW,30,5,37,67.57
2020-01-01,2020-02-01,2020-02-01,Returning Customer,NSW,52,2,61,81.97
2019-01-01,2019-09-01,2019-09-28,New customer,VIC,15,4,23,47.83
2019-01-01,2019-08-01,2019-08-16,Returning Customer,NSW,11,1,18,55.56
2019-01-01,2019-11-01,2019-11-08,New customer,,24,3,34,61.76
2019-01-01,2019-10-01,2019-10-01,New customer,QLD,7,1,11,54.55
2018-01-01,2018-08-01,2018-08-06,Returning Customer,NSW,10,0,11,90.91
2020-01-01,2020-01-01,2020-01-06,Returning Customer,SA,1,1,4,0.0
2018-01-01,2018-12-01,2018-12-08,New customer,WA,3,0,3,100.0
2019-01-01,2019-10-01,2019-10-06,New customer,NSW,14,0,15,93.33
2019-01-01,2019-10-01,2019-10-20,New customer,SA,1,1,2,0.0
2018-01-01,2018-08-01,2018-08-05,New customer,NSW,12,4,19,42.11
2020-01-01,2020-02-01,2020-02-16,New customer,WA,7,0,8,87.5
2019-01-01,2019-09-01,2019-09-20,Returning Customer,VIC,15,1,22,63.64
2019-01-01,2019-10-01,2019-10-31,New customer,VIC,32,5,46,58.7
2019-01-01,2019-09-01,2019-09-22,New customer,WA,2,0,3,66.67
2019-01-01,2019-01-01,2019-01-10,New customer,NSW,12,5,19,36.84
2019-01-01,2019-10-01,2019-10-19,New customer,,9,1,11,72.73
2019-01-01,2019-08-01,2019-08-10,New customer,,10,3,18,38.89
2019-01-01,2019-10-01,2019-10-23,New customer,VIC,15,2,24,54.17
2018-01-01,2018-09-01,2018-09-01,New customer,TAS,1,0,2,50.0
2018-01-01,2018-08-01,2018-08-24,Returning Customer,NSW,14,1,15,86.67
2020-01-01,2020-02-01,2020-02-25,Returning Customer,,5,1,6,66.67
2020-01-01,2020-06-01,2020-06-19,New customer,VIC,24,2,31,70.97
2020-01-01,2020-03-01,2020-03-28,Returning Customer,QLD,9,0,9,100.0
2018-01-01,2018-08-01,2018-08-09,Returning Customer,NSW,8,0,9,88.89
2019-01-01,2019-04-01,2019-04-12,New customer,,8,1,10,70.0
2019-01-01,2019-11-01,2019-11-27,New customer,QLD,20,2,25,72.0
2019-01-01,2019-06-01,2019-06-06,New customer,WA,7,1,10,60.0
2019-01-01,2019-07-01,2019-07-31,New customer,VIC,12,2,20,50.0
2019-01-01,2019-08-01,2019-08-25,New customer,VIC,14,2,20,60.0
2019-01-01,2019-12-01,2019-12-19,New customer,NSW,52,7,69,65.22
2019-01-01,2019-06-01,2019-06-20,New customer,VIC,14,3,24,45.83
2019-01-01,2019-02-01,2019-02-12,New customer,,6,1,7,71.43
2020-01-01,2020-04-01,2020-04-23,Returning Customer,VIC,19,1,25,72.0
2020-01-01,2020-05-01,2020-05-14,New customer,WA,3,1,5,40.0
2018-01-01,2018-10-01,2018-10-21,Returning Customer,NSW,5,1,10,40.0
2019-01-01,2019-04-01,2019-04-07,Returning Customer,SA,0,1,2,-50.0
2019-01-01,2019-05-01,2019-05-09,New customer,NSW,24,2,31,70.97
2019-01-01,2019-03-01,2019-03-26,Returning Customer,NSW,6,0,8,75.0
2020-01-01,2020-01-01,2020-01-17,New customer,NSW,42,6,60,60.0
2020-01-01,2020-03-01,2020-03-27,Returning Customer,NSW,21,1,30,66.67
2019-01-01,2019-05-01,2019-05-19,New customer,VIC,16,4,24,50.0
2019-01-01,2019-07-01,2019-07-13,New customer,NSW,12,5,23,30.43
2019-01-01,2019-12-01,2019-12-10,New customer,TAS,3,0,3,100.0
2019-01-01,2019-12-01,2019-12-29,New customer,,20,0,24,83.33
2020-01-01,2020-01-01,2020-01-25,Returning Customer,VIC,27,4,34,67.65
2020-01-01,2020-03-01,2020-03-30,Returning Customer,VIC,17,0,20,85.0
2019-01-01,2019-08-01,2019-08-06,New customer,SA,1,0,2,50.0
2018-01-01,2018-07-01,2018-07-07,New customer,VIC,1,2,4,-25.0
2018-01-01,2018-07-01,2018-07-17,New customer,NSW,10,1,15,60.0
2020-01-01,2020-02-01,2020-02-13,Returning Customer,ACT,2,0,2,100.0
2018-01-01,2018-08-01,2018-08-22,New customer,NSW,12,0,14,85.71
2020-01-01,2020-01-01,2020-01-23,Returning Customer,NSW,26,2,30,80.0
2019-01-01,2019-11-01,2019-11-02,New customer,NSW,27,11,42,38.1
2019-01-01,2019-06-01,2019-06-01,New customer,NSW,21,1,27,74.07
2018-01-01,2018-10-01,2018-10-03,New customer,NSW,8,3,17,29.41
