product_category,total_orders,detractors,pct_detractors,avg_year
['AUS Home Décor - Wall Art'],2934,207,7.06,2019.0
"['AUS Lighting - Light Bulbs,AUS Lighting - Indoor - Lamps']",31,2,6.45,2020.0
['AUS Furniture - Bedroom - Bed Mattresses'],1331,135,10.14,2019.0
['AUS Kids - Furniture - Tables & Chairs'],186,14,7.53,2019.0
['AUS Furniture - Bedroom - Bedside Tables'],1526,200,13.11,2019.0
"['AUS Manchester - Home - Cushions,AUS Manchester - Home - Cushions']",220,18,8.18,2019.0
['AUS Furniture - Wine Racks & Cabinets'],243,29,11.93,2019.0
"['AUS Manchester - Home - Cushions,AUS Manchester - Bed Sheets,AUS Manchester - Quilt Covers']",5,1,20.0,2019.0
['AUS Furniture - Outdoor - Sofas & Lounge Sets'],344,70,20.35,2019.0
"['AUS Rugs - Rugs,AUS Furniture - Armchairs,AUS Rugs - Rugs']",2,1,50.0,2019.0
"['AUS Manchester - Bath - Bath Towels & Bath Mats,AUS Rugs - Rugs']",17,1,5.88,2019.0
['AUS Furniture - Outdoor - Benches'],574,56,9.76,2019.0
"['AUS Home Décor - Wall Art,AUS Manchester - Home - Cushions,AUS Manchester - Home - Cushions,AUS Manchester - Home - Cushions,AUS Manchester - Home - Cushions']",1,0,0.0,2019.0
"['AUS Lighting - Indoor - Ceiling Fixtures,AUS Home Décor - Artificial Plants & Flowers']",2,0,0.0,2020.0
"['AUS Manchester - Quilts,AUS Manchester - Bed Sheets,AUS Manchester - Bed Sheets']",2,0,0.0,2019.0
"['AUS Manchester - Bedspreads,Coverlets & Comforters,AUS Manchester - Quilt Covers']",3,1,33.33,2019.0
"['AUS Home Décor - Vases,AUS Home Décor - Vases,AUS Home Décor - Vases,AUS Outdoor - All Planters,AUS Outdoor - All Planters,AUS Home Décor - Artificial Plants & Flowers,AUS Home Décor - Artificial Plants & Flowers,AUS Home Décor - Artificial Plants & Flowers,AUS Home Décor - Artificial Plants & Flowers']",1,0,0.0,2018.0
"['AUS Furniture - Occasional - Side/End Tables,AUS Furniture - Entertainment - TV Units']",18,4,22.22,2019.0
"['AUS Manchester - Bedspreads,Coverlets & Comforters,AUS Rugs - Rugs']",6,0,0.0,2019.0
['AUS Bathroomware - Bathroom Accessories'],141,18,12.77,2019.0
['AUS Outdoor - Garden - Statues'],150,18,12.0,2019.0
"['AUS Furniture - Bedroom - Bed Mattresses,AUS Furniture - Bedroom - Bed Mattresses']",54,15,27.78,2019.0
"['AUS Rugs - Rugs,AUS Rugs - Rugs,AUS Rugs - Rugs']",228,38,16.67,2019.0
"['AUS Furniture - Occasional - Ottomans & Stools,AUS Gift & Novelty - Gift Ideas']",1,0,0.0,2019.0
['AUS Kitchenware - [Cooking] Utensils'],140,20,14.29,2019.0
